smiles,auc,cl,vdss,t1_2,log_auc_value,log_cl_value,log_vdss_value,log_t1_2_value,k1,k2,k3
N=C(N)NC(=O)c1cnn(-c2cccc3ncccc23)c1C1CC1,74.4,237.0,7.2,0.5,4.309455941839047,5.4680601411351315,1.9740810260220096,-0.6931471805599453,17632.800000000003,1071.36,16.458333333333332
CC(C)(C)n1nnnc1C(c1cccc(Nc2ccnc3cc(Cl)ccc23)c1)N1CCCC1,63.5,278.33,12.2,0.85,4.151039905898646,5.628807460063128,2.501435951739211,-0.16251892949777494,17673.954999999998,911.4117647058824,19.39184426229508
Nc1cccnc1N1CCC(C(=O)Nc2ccc(-n3nccn3)c(Cl)c2)CC1,64.05707000000002,259.0,4.1,0.3,4.159774404764703,5.556828061699537,1.410986973710262,-1.2039728043259361,16590.781130000007,875.4466233333337,18.951219512195124
Nc1noc2ccc(-c3cc(Cl)ccc3Oc3cc(F)c(S(=O)(=O)Nc4ncns4)cc3F)cc12,96.46938000000004,177.0,1.4,0.13,4.569225652293354,5.176149732573829,0.3364722366212129,-2.0402208285265546,17075.080260000006,1038.9010153846157,16.435714285714287
Cc1ccc(NC(=O)C2CCN(c3ncccc3Cl)CC2)cc1Cl,52.09146800000002,320.0,21.4,2.0,3.9530011733527006,5.768320995793772,3.0633909220278057,0.6931471805599453,16669.269760000006,557.3787076000002,29.90654205607477
CCOC(=O)N1C2CCC1CC(N1CCC[C@@H](NC(=O)c3ccccc3C)C1)C2,92.2,189.0,11.8,0.7667,4.523960130562548,5.241747015059643,2.468099531471619,-0.26565968841728826,17425.8,1419.0165644971958,12.280194915254238
O=C1CC(=O)N(CCc2ccccc2)C(=O)N1CCc1ccccc1,121.0,133.0,9.0,0.95,4.795790545596741,4.890349128221754,2.1972245773362196,-0.05129329438755058,16093.0,1146.3157894736842,14.038888888888888
CCC(C)(C)C(=O)Nc1cc(CN2CCOCC2)c(C)cn1,158.0,96.67,3.5,0.5,5.062595033026967,4.571303116476514,1.252762968495368,-0.6931471805599453,15273.86,1106.0,13.81
NCCc1cn(S(=O)(=O)c2c(Cl)nc3sccn23)c2ccccc12,140.0,123.33,24.0,5.4,4.941642422609304,4.814863689577897,3.1780538303479458,1.6863989535702288,17266.2,622.2222222222222,27.749250000000004
O=C(O)c1ccc(NC(=O)[C@H](CC2CCCC2)n2cnc(S(=O)(=O)C3CCC3)c2)nc1,176.0,96.0,0.8,0.2,5.170483995038151,4.564348191467836,-0.2231435513142097,-1.6094379124341003,16896.0,704.0,24.000000000000004
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c(Cl)c1,162.0,107.0,2.3,0.5,5.087596335232384,4.672828834461906,0.8329091229351039,-0.6931471805599453,17334.0,745.1999999999999,23.260869565217394
Cc1ccn2nc([C@H](C)Nc3ncnc(N)c3-c3ccc(O)c(F)c3)n(-c3ccccc3)c(=O)c12,149.0,112.0,5.2,1.0,5.003946305945459,4.718498871295094,1.6486586255873816,0.0,16688.0,774.8000000000001,21.538461538461537
C[C@H]1[C@@H](c2cccc(C(F)(F)F)c2)OC(=O)N1C(=O)NCc1cncc2ccccc12,180.3471600000001,92.7,6.6,1.7,5.194883660067258,4.529368472571809,1.8870696490323797,0.5306282510621704,16718.18173200001,700.1713270588237,23.87727272727273
Cc1c2c(=O)n(-c3ccccc3)[nH]c2cc(=O)n1Cc1cccnc1,196.0,85.17,2.36,0.7,5.278114659230517,4.44464925915299,0.8586616190375187,-0.35667494393873245,16693.32,660.8000000000001,25.26228813559322
CCN(Cc1cc(C(F)(F)F)ccc1-c1cn(CC(=O)O)c2ccc(C)nc12)C(=O)C1CC1,126.0,134.0,2.7,0.5,4.836281906951478,4.897839799950911,0.9932517730102834,-0.6931471805599453,16884.0,680.4000000000001,24.814814814814813
COc1cccc(CNC(=O)c2cn(CCN3CCCC3)c3nc(-c4cn[nH]c4)ccc23)c1,133.36170000000007,114.0,10.0,1.5,4.893064985811801,4.736198448394496,2.302585092994046,0.4054651081081644,15203.233800000007,889.0780000000004,17.1
CNc1cc(-c2cccnc2Oc2ccc(Nc3nc4ccc(F)c(F)c4[nH]3)cc2)ccn1,257.7781,65.0,2.52,0.81,5.552099137323355,4.174387269895637,0.9242589015233319,-0.21072103131565253,16755.5765,801.976311111111,20.892857142857142
CCN(Cc1cc(F)ccc1-c1cn(CC(=O)O)c2ccccc12)C(=O)C1CC1,222.0,76.0,5.4,1.9,5.402677381872279,4.330733340286331,1.6863989535702288,0.6418538861723947,16872.0,630.9473684210527,26.74074074074074
CN(C)CC[C@@H](c1ccccc1)n1cc(NC(=O)c2n[nH]c3c2CCC(C)(C)C3)cn1,252.3366000000001,70.0,14.0,3.0,5.530763910524381,4.248495242049359,2.6390573296152584,1.0986122886681098,17663.562000000005,1177.5708000000004,15.0
O=C(C[C@@H](NS(=O)(=O)c1ccc2ccccc2c1)c1ccccc1)N[C@@H]1CCOc2cc(CN3CCCCC3)ccc21,201.0,84.1,7.427,1.4,5.303304908059076,4.432006566978902,2.0051220086871595,0.3364722366212129,16904.1,1066.305,15.852968897266727
c1cn(-c2cc(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncn2)cn1,244.032,70.0,2.9,0.7,5.497299364235099,4.248495242049359,1.0647107369924282,-0.35667494393873245,17082.24,1010.9897142857144,16.896551724137932
O=C(Nc1ccc(-c2ccncn2)c(-c2ccco2)n1)C1CC1,267.0,63.33,1.6,0.5,5.58724865840025,4.148359150528339,0.47000362924573563,-0.6931471805599453,16909.11,854.4000000000001,19.790625
CCC(C)(C)C(=O)Nc1cc(C)c(C)c(S(=O)(=O)N2CCOCC2)c1,237.0,70.0,2.5,0.7,5.4680601411351315,4.248495242049359,0.9162907318741551,-0.35667494393873245,16590.0,846.4285714285714,19.6
O=C(N[C@@H]1CCC[C@@H](NC(=O)c2ccccn2)C1)c1cccc(Cl)c1,260.0,68.33,3.4,0.6,5.560681631015528,4.224348908792687,1.2237754316221157,-0.5108256237659907,17765.8,1473.3333333333337,12.058235294117647
Cc1ccc(CN2CCN(C)CC2)cc1NC(=O)c1ccc(Nc2ncc(C)c(-c3ccncc3)n2)cc1,270.0,61.5,5.7,1.1,5.598421958998375,4.119037174812473,1.7404661748405046,0.09531017980432493,16605.0,1399.090909090909,11.86842105263158
CN(C)CCn1cc(-c2ccn3c(-c4ccc(C(N)=O)c(OCc5cccc(C(F)(F)F)c5)c4)cnc3c2)cn1,268.0,62.8,5.08,1.49,5.5909869805108565,4.139955073474153,1.6253112615903906,0.3987761199573678,16830.399999999998,913.7181208053692,18.41968503937008
Cc1cn(-c2cc(NC(=O)C3CCN(c4ncccc4Cl)CC3)cc(C(F)(F)F)c2)cn1,289.00409300000007,56.0,8.7,2.4,5.6664408506419015,4.02535169073515,2.163323025660538,0.8754687373538999,16184.229208000004,1047.6398371250002,15.448275862068968
O=C(N[C@@H](C(=O)N1CCC[C@H]1C(=O)Nc1nc(-c2ccccc2)cs1)c1ccccc1)c1ccccc1,367.0,44.8,4.2,2.3,5.905361848054571,3.8022081394209395,1.4350845252893227,0.8329091229351039,16441.6,670.1739130434784,24.53333333333333
O=C(NOCCO)c1ccc2[nH]ncc2c1Nc1ccc(Br)cc1F,306.91125000000005,54.0,1.5,0.36,5.726558617845339,3.9889840465642745,0.4054651081081644,-1.0216512475319814,16573.207500000004,1278.7968750000002,12.96
FC(F)(F)c1ccc(Nc2nc(N3CCOCC3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1,322.0,51.67,4.7,1.1,5.7745515455444085,3.9448773422990935,1.547562508716013,0.09531017980432493,16637.74,1375.8181818181818,12.092978723404256
Cc1nn(C[C@H](F)CN2C3CCC2CC(OCc2cccc(F)c2)C3)c(=O)n1C,310.0,53.5,2.54,1.36,5.736572297479192,3.979681653901961,0.9321640810304452,0.3074846997479607,16585.0,578.970588235294,28.645669291338585
O=C(Nc1nc(-c2ccccc2)cs1)[C@@H]1CCCN1C(=O)[C@H](NC(=O)N1CCCC1)c1ccccc1,311.4,55.1,1.1,0.5,5.741078259399898,4.009149716158869,0.09531017980432493,-0.6931471805599453,17158.14,685.08,25.045454545454543
CCCCCCCCCCC(C)(C)C(=O)N[C@H]1CCCCNC1=O,395.0,40.0,2.0,0.7667,5.978885764901122,3.6888794541139363,0.6931471805599453,-0.26565968841728826,15800.0,1030.3899830442151,15.334
Cc1ccc2[nH]c(C(=O)N3CCC(CC(C)(C)O)CC3)cc2c1,395.0,42.0,1.7,0.46,5.978885764901122,3.7376696182833684,0.5306282510621704,-0.7765287894989963,16590.0,1459.782608695652,11.364705882352942
C[C@H](NCc1ccc2c(c1)[nH]/c(=N\C(=O)c1ccc(-c3cn[nH]c3)s1)n2CC(C)(C)O)C(C)(C)C,314.0,53.1,11.6,2.5,5.749392985908253,3.9721769282478934,2.451005098112319,0.9162907318741551,16673.4,1456.96,11.44396551724138
CN(C)CCn1c(CC(C)(C)C)nc2cc(S(=O)(=O)C3CN(CCO)C3)ccc21,391.0,43.42,5.696,3.3,5.968707559985366,3.7709201644501458,1.7397641741096745,1.1939224684724346,16977.22,674.889696969697,25.15554775280899
CC(=O)Nc1nc2c(Oc3cc(-c4ccc(C(F)(F)F)cc4)nc(NCC4CCCCN4CC(C)C)n3)cccc2s1,351.0,47.67,8.29,2.6,5.860786223465865,3.864302269216734,2.1150499691472033,0.9555114450274363,16732.170000000002,1119.15,14.95078407720145
