,smiles,value,log_value,init_value
0,Nc1n[nH]c2nc(-c3ccco3)c(-c3ccncn3)cc12,164.0,5.099866427824199,0.1521612458453369
1,CCn1cnc(CN2CCN(c3cccc4[nH]c(-c5ccc(C(C)(C)C)cc5)nc34)CC2)c1C,124.0,4.820281565605037,0.1381056545173717
2,CC[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCCC3)n2)cc1,204.0,5.318119993844216,0.1631335241922372
3,C[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCC3)n2)cc1,439.0,6.084499413075172,0.2016617758056228
4,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,209.83,5.346297679066604,0.1645501031332797
5,C[C@H](NC(=O)C(C)(C)Oc1ccc(C(F)(F)F)cn1)[C@@H](Cc1ccc(Cl)cc1)c1cccc(C#N)c1,412.5,6.022236205774735,0.1985316127859337
6,Cc1cc(O)c(C(=O)CCc2ccc3occc3c2)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,153.0,5.030437921392435,0.1486708611901372
7,Cc1nc2ccccc2n1C1C[C@H]2CC[C@@H](C1)N2CC[C@H](NC(=O)C1CCSCC1)c1cccc(F)c1,270.0,5.598421958998375,0.1772251664913258
8,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(c(F)c5ccc(CN6CCC6)cc5c4O)C[C@H]3C[C@@H]12,354.0,5.869296913133774,0.1908428839388606
9,COc1c2c(c(O)c3cc(CNC4CC4)ccc13)C(=O)C1=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3C[C@@H]1C2,385.0,5.953243334287785,0.1950631288398921
10,COc1c2c(c(O)c3cc(CN4CC(F)C4)ccc13)C(=O)C1=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3C[C@@H]1C2,451.0,6.111467339502679,0.2030175364495255
11,COCCN1CCc2cc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NS(C)(=O)=O)n3)c(OC)cc2CC1,72.0,4.276666119016055,0.1107764332706416
12,O=C(NO)c1cnc(N2C[C@@H]3[C@H](C2)[C@H]3NCc2ccc3cc(F)ccc3n2)nc1,124.0,4.820281565605037,0.1381056545173717
13,Cc1nc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c(C)n1-c1ccc2c(c1)OCCO2.Cl.Cl.Cl.Cl,182.18,5.204995209316664,0.1574463931803408
14,COc1ccccc1-n1c(C)nc(C(=O)NCCCN2CCN(c3cccc(Cl)c3C)CC2)c1C.Cl.Cl.Cl,126.85,4.843005286045291,0.1392480458665456
15,Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@H](OC(C)(C)C)[C@@H](O)C4)cc3)nn3cccc23)n[nH]1,345.6103280000001,5.845311920742635,0.1896370845676845
16,Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@H](OC(C)(C)C)C[C@H]4CO)cc3)nn3cccc23)n[nH]1,319.9503090000001,5.768165699360906,0.1857587066339453
17,Cc1cc(Nc2nc(Sc3ccc(NC(=O)C4CC4)cc3)nn3cc(NC(=O)C(=O)N4CCN(C)CC4)cc23)n[nH]1,435.0259470000002,6.075405677585659,0.2012046057404388
18,COc1cc(N2CCN(C[C@H](C)O)CC2)ccc1Nc1ncc2ccc(-c3ccccc3N(C)S(C)(=O)=O)n2n1,343.0,5.83773044716594,0.1892559405622045
19,Cn1nc(-c2ccc(OCCCN3CCCCC3)cc2)c2ccccc2c1=O,402.0,5.996452088619021,0.1972353658767967
20,CC(C)n1nc(-c2ccc(OCCCN3CCC[C@H]3C)cc2)c2sccc2c1=O,160.0,5.075173815233827,0.1509198722293434
21,C[C@@H]1CCCN1CCCOc1ccc(-c2nn(C)c(=O)c3c2CCC3)cc1,182.0,5.204006687076795,0.1573966971255833
22,Cl.O=C(Nc1ccc(N2C(=O)[C@@H]3[C@H](C2=O)[C@@H]2C=C[C@H]3C2)c(Cl)c1)c1ccccn1,454.0,6.118097198041348,0.203350839838851
23,CCOc1ccc([C@@H](C)Nc2nc(N3CCN(C(C)=O)CC3)nc3c2CN(C(C)C)C3=O)cc1,186.6344000000001,5.229151622976711,0.1586608104261813
24,CC(=O)N1CCC(C(=O)N(CCCN2CCN(Cc3ccc(F)cc3)CC2)c2ccc(C)c(Cl)c2)CC1.Cl,209.39,5.344198541804225,0.1644445730438925
25,CC(=O)N1CCC(C(=O)N(CCCN2CCC(Cc3ccc(C(N)=O)cc3)CC2)c2ccc(C)c(Cl)c2)CC1.Cl,328.03,5.793105067616255,0.1870124854165034
26,Cc1cc(-c2nnc(N)nc2-c2ccccc2)cc(C(F)(F)F)n1,397.0,5.983936280687191,0.1966061576999562
27,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCC[C@H](NC(=O)N5CCC5)C(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,107.0,4.672828834461906,0.1306927519993679
28,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCC[C@H](NC(=O)N5CC(F)(F)C5)C(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,203.0,5.313205979041787,0.1628864815473162
29,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCC[C@H](NC(=O)N5CCCCC5)C(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,268.0,5.5909869805108565,0.1768513872447554
30,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1.O=C(O)C(F)(F)F,312.4642500000002,5.744490062632278,0.184568459523835
31,O=c1cc(COc2cc(Cl)cc(Cl)c2)[nH][nH]1,179.0,5.187385805840755,0.1565611142821127
32,Cl.c1ccc(OC(c2ccc3ccccc3c2)C2CNC2)cc1,159.7,5.073297055220967,0.1508255217285615
33,CCCOC(c1ccc2ccccc2c1)C1CNC1.Cl,214.6,5.368775830196598,0.1656801489575911
34,O=C(Nc1sc2c(c1C(=O)N1CC(F)(F)C1)CCOC2)c1c(F)cccc1C(F)(F)F,165.0,5.10594547390058,0.1524668581972907
35,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCC[C@H](NC(=O)C5(OC)CCC5)C(=O)N4C3)cc(-c3nc(C4CC4)cs3)nc2c1C,117.0,4.762173934797756,0.1351844051150232
36,CCN(CC)C(=O)N[C@H]1CCCCC/C=C\[C@@H]2C[C@@]2(C(=O)NS(=O)(=O)C2CC2)NC(=O)[C@@H]2C[C@@H](Oc3cc(-c4nc(C5CC5)cs4)nc4c(C)c(OC)ccc34)CN2C1=O,127.0,4.844187086458591,0.1393074586098133
37,COc1ccc2c(n1)C1(CO2)C(=O)N(Cc2ccc(C(F)(F)F)o2)c2ccccc21,244.0,5.497168225293202,0.1721348297324103
38,Cc1nc2sc(C(=O)NCc3ccncc3)c(N)c2c(C)c1Cl,175.0,5.1647859739235145,0.1554249511902053
39,Cc1cc(C)c(-c2nc3cc(N4CCCC4)ncc3[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,460.0,6.131226489483141,0.2040108897194734
40,COc1cccc(CN(CCN2CCOCC2)C(=O)Nc2ccc(-c3cn[nH]c3)cc2)c1,261.3168,5.5657334643748415,0.1755818152815789
41,COc1cccc(CN(CCN2CCCC2)C(=O)Nc2ccc(-c3cn[nH]c3)cc2)c1,251.7174,5.528307029668475,0.1737002732448606
42,CN(C)CCC(NC(=O)Nc1ccc(-c2cn[nH]c2)cc1)c1ccccc1,181.73250000000004,5.202535825670534,0.1573227523967365
43,COc1cccc(CN(CCN2CCCCC2)C(=O)Nc2ccc(-c3cn[nH]c3)cc2)c1,173.4224,5.155730237087482,0.1549696914342565
44,COc1cccc(CN(CCN(C)C)C(=O)Nc2ccc(-c3cn[nH]c3)cc2)c1,78.69820000000001,4.365620283497249,0.1152484328379435
45,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCc4ccc(CCCCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O,221.0,5.3981627015177525,0.1671575174045776
46,COc1ccc(O[C@@H](CC(C)C)[C@H]2CCNC2)c(C)n1,167.03759999999997,5.118218936774964,0.1530838829423789
47,OC[C@H]1O[C@@H](c2cc(Cc3cc4cccccc-4c3)ccc2O)[C@H](O)[C@@H](O)[C@@H]1O,403.0,5.998936561946683,0.1973602679958944
