smiles,value,log_value,init_value
Cc1ccc(C2(c3ccc(C)cc3)CC(=O)N(CCCN3CCC(C#N)(c4ccccc4Cl)CC3)C2=O)cc1,0.66,-0.4155154439616658,0.3859935228418256
Cc1c(C(=O)Nc2ccccc2)oc2cccc(OCCCNCc3cccnc3)c12,0.9,-0.10536051565782628,0.4323918689148059
Cc1csc(C(=O)c2oc3cccc(OCCCNCc4cccnc4)c3c2C)n1,0.34,-1.0788096613719298,0.286766485515954
Cc1c(C(=O)c2nccn2C)oc2cccc(OCCCNCc3cccnc3)c12,0.45,-0.7985076962177716,0.32869890830634213
Cc1c(C(=O)c2ncccc2C(F)(F)F)oc2cccc(OCCCNCc3cccnc3)c12,0.56,-0.579818495252942,0.3614142266934467
Cc1ccc(C(=O)c2oc3cccc(OCCCNCc4cccnc4)c3c2C)nc1,0.58,-0.5447271754416722,0.3666637940940521
Cc1c(C(=O)c2nc3ccccc3n2C)oc2cccc(OCCCNCc3cccnc3)c12,0.59,-0.527632742082372,0.36922107551228994
CCNC(=O)[C@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CN(C)C(C)=O,0.9167,-0.08697501401440717,0.435142290688343
CCOC(=O)c1oc2cccc(OCCCNCc3cccnc3)c2c1C,0.4,-0.916290731874155,0.3110788818253913
CCNC(=O)[C@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCC(=O)N1,0.18,-1.7147984280919266,0.19162427043596533
CCNC(=O)[C@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,0.06667,-2.7080002023521685,0.04304394674276825
CCNC(=O)[C@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(Cl)cc1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,0.07333,-2.6127854768764287,0.05728781450275221
C=CCn1c(C(=O)c2oc3cccc(OCCCNCc4cccnc4)c3c2C)nc2ccccc21,0.8,-0.2231435513142097,0.41477184243385506
